n=10,	 e=50.49847286
4.703481169324502531e+01 4.178765118183493110e-02
4.481810382693119266e+01 1.388362698102823067e+01
4.300999243285065177e+01 1.745335953324286393e+01
-2.301926894945656699e+01 4.063433844010501161e+01
-2.636244703564641156e+01 3.844555070462635626e+01
-3.495046346976649687e+01 -3.103437182907159908e+01
-3.215077039860085506e+01 -3.388124489190804667e+01
4.626043037645202105e+01 -3.878995737734495020e+00
n=20,	 e=48.73642879
4.729816436596349405e+01 7.457849709133773652e-02
4.500565374537096375e+01 1.390363636634737254e+01
4.292234989733304928e+01 1.732353306972541773e+01
-2.306937343231401627e+01 4.063545077189478150e+01
-2.639659843017616936e+01 3.841633810161393114e+01
-3.505534211486618545e+01 -3.105706010769099734e+01
-3.222233285456185570e+01 -3.387497550381201705e+01
4.615786729929700982e+01 -3.757450343701583595e+00
n=30,	 e=47.88914405
4.747214533673078307e+01 9.780225459152808165e-02
4.512820858704337468e+01 1.391510765649981529e+01
4.287255216139509173e+01 1.722436023624013401e+01
-2.309689131756483249e+01 4.061279192309332586e+01
-2.642522826828886195e+01 3.839279524345467109e+01
-3.514063466792236312e+01 -3.107351942889972563e+01
-3.226463896269387988e+01 -3.384955375562771707e+01
4.609487560739074752e+01 -3.655733277894940070e+00
n=40,	 e=47.45610954
4.759042871179273249e+01 1.145395011754147263e-01
4.521158178213859458e+01 1.392250491866511375e+01
4.284546464554632905e+01 1.715318227608634416e+01
-2.311259845649230016e+01 4.058147269779912847e+01
-2.644950885084887204e+01 3.837358440938170645e+01
-3.521007040179532765e+01 -3.108600794081499075e+01
-3.229117951044658241e+01 -3.381780537652755214e+01
4.605627055624209731e+01 -3.577419634308566021e+00
n=50,	 e=47.22216431
4.767281249786888253e+01 1.267887643653154151e-01
4.527070859262281033e+01 1.392798614950925362e+01
4.283204078003140580e+01 1.710363912507034811e+01
-2.312186094265312164e+01 4.054863650719032364e+01
-2.647003351188095621e+01 3.835779797814150527e+01
-3.526673335889852723e+01 -3.109582518544040042e+01
-3.230899496270056659e+01 -3.378591017793002749e+01
4.603244938179797430e+01 -3.519062309456962634e+00
n=60,	 e=47.0894911
4.773114309080538220e+01 1.359480977857427664e-01
4.531421077251785334e+01 1.393253286811229152e+01
4.282689672048479679e+01 1.706976777442165272e+01
-2.312732023230955036e+01 4.051741052836231916e+01
-2.648716408484359874e+01 3.834472989820891087e+01
-3.531309975369423881e+01 -3.110373837675932052e+01
-3.232177100693584748e+01 -3.375658647260184608e+01
4.601749297021397922e+01 -3.476013466083730297e+00
n=70,	 e=47.01099637
4.777284675294863092e+01 1.429656797849782335e-01
4.534725993109610442e+01 1.393659924950923035e+01
4.282679114601729964e+01 1.704697605666162374e+01
-2.313035737204072717e+01 4.048904161930690293e+01
-2.650122741628094047e+01 3.833381316740999978e+01
-3.535117643038510238e+01 -3.111024665136158873e+01
-3.233152101379951660e+01 -3.373086437711211971e+01
4.600777287873141574e+01 -3.444233892766289440e+00
n=80,	 e=46.96278296
4.780277992948098387e+01 1.484802244092967294e-01
4.537309235964798404e+01 1.394039987858788443e+01
4.282974318779390899e+01 1.703195189830509904e+01
-2.313175101278735468e+01 4.046388865303502769e+01
-2.651255665192158517e+01 3.832459134812853563e+01
-3.538259042059450366e+01 -3.111570007500918322e+01
-3.233939449550072709e+01 -3.370895281161455870e+01
4.600106558022537229e+01 -3.420608264411989285e+00
n=90,	 e=46.9321347
4.782422588199819558e+01 1.529254360644205779e-01
4.539381110573714295e+01 1.394403820568241947e+01
4.283452794405167197e+01 1.702236511565026333e+01
-2.313197429620648649e+01 4.044189088617156358e+01
-2.652148583564360251e+01 3.831669939435083450e+01
-3.540865596720514219e+01 -3.112035508292502684e+01
-3.234607312066893314e+01 -3.369066975567097444e+01
4.599601276434063379e+01 -3.402843347898144355e+00
n=100,	 e=46.9119928
4.783946168836413193e+01 1.565997255497095508e-01
4.541082705003560704e+01 1.394756549534739243e+01
4.284038307329008433e+01 1.701659143471460212e+01
-2.313133474525988476e+01 4.042279773593993752e+01
-2.652833685608362657e+01 3.830984784532215315e+01
-3.543043047250186106e+01 -3.112440355199434450e+01
-3.235197376567293759e+01 -3.367566198391099164e+01
4.599179250428852583e+01 -3.389285849554609431e+00
n=110,	 e=46.8982925
4.785009832069858504e+01 1.597113260668675816e-01
4.542511229932600259e+01 1.395100836219056539e+01
4.284683387159350332e+01 1.701350132353859479e+01
-2.313004376430325948e+01 4.040628493824155498e+01
-2.653340911088326948e+01 3.830380902241383012e+01
-3.544876212874313381e+01 -3.112799028732051099e+01
-3.235735766887772513e+01 -3.366351886217717748e+01
4.598791665770340842e+01 -3.378754971543921126e+00
n=120,	 e=46.88861981
4.785729387033354243e+01 1.624074976866987929e-01
4.543735186234499679e+01 1.395438172398597665e+01
4.285358648996488284e+01 1.701230843833109319e+01
-2.312825318784921791e+01 4.039201388110204505e+01
-2.653697348090871344e+01 3.829840503573637989e+01
