n=10,	 e=49.1818829
4.643935782718292415e+01 6.291334517456451114e-02
3.773204547698367861e+01 2.670187249899451132e+01
3.507563383235807208e+01 2.971086158353846329e+01
-1.960051228135802859e+01 4.183063181188430946e+01
-2.306400859038693696e+01 3.982534913465310922e+01
-3.604932556914621955e+01 -2.896354592422266450e+01
-3.336316366000750122e+01 -3.191739655993315594e+01
4.577793243945594526e+01 -3.883944168619748005e+00
n=20,	 e=48.1241404
4.665021801202923513e+01 1.159331180936362948e-01
3.780194733883353564e+01 2.670382644314765486e+01
3.503114755916494261e+01 2.960627871306376235e+01
-1.961787685664929626e+01 4.185394932151667291e+01
-2.303466386149407086e+01 3.976741700483418640e+01
-3.615292865829633229e+01 -2.899874021385496548e+01
-3.342106540935708381e+01 -3.191366182056347967e+01
4.569118135085995647e+01 -3.768260844768997586e+00
n=30,	 e=47.58947161
4.679501895253279287e+01 1.523519172256014298e-01
3.784730309959071093e+01 2.670191705884116828e+01
3.500556632589395889e+01 2.953192659937191777e+01
-1.962630607676053529e+01 4.185459566909380413e+01
-2.301525314387238907e+01 3.972299332064952182e+01
-3.623512211824876772e+01 -2.902418751756560056e+01
-3.345775806032867195e+01 -3.189750567274656490e+01
4.563451049629522771e+01 -3.675349653406915884e+00
n=40,	 e=47.3054187
4.689709632313456922e+01 1.780012204360299499e-01
3.787905163763431204e+01 2.669969755366845021e+01
3.499148045747853786e+01 2.948020580797572521e+01
-1.963041965237152198e+01 4.184451712710107785e+01
-2.300354094187338561e+01 3.968855112044766997e+01
-3.630086682812009258e+01 -2.904331045496345354e+01
-3.348209851537602333e+01 -3.187699070360550380e+01
4.559725699460879156e+01 -3.603929949599049110e+00
n=50,	 e=47.14800911
4.697026721569775276e+01 1.965745465561489769e-01
3.790268185217006902e+01 2.669831852486689883e+01
3.498448281821092820e+01 2.944454759628532159e+01
-1.963220721797035395e+01 4.182967608823361871e+01
-2.299703474034811634e+01 3.966156418214306711e+01
-3.635371543414794360e+01 -2.905804899917360018e+01
-3.349895312241470435e+01 -3.185604114983766877e+01
4.557243810393361372e+01 -3.549849067610561626e+00
n=60,	 e=47.05748724
4.702326856422208579e+01 2.103700921431074233e-01
3.792115385010068707e+01 2.669803669129246515e+01
3.498192038883511401e+01 2.942018205508927409e+01
-1.963262513631988071e+01 4.181319781026062543e+01
-2.299379835556519325e+01 3.964018291145566764e+01
-3.639638857748077783e+01 -2.906963745776561581e+01
-3.351113428761790658e+01 -3.183653452014587870e+01
4.555556302896393817e+01 -3.509055860870537558e+00
n=70,	 e=47.00364666
4.706187480963334480e+01 2.208530593819078569e-01
3.793616408559761766e+01 2.669877784220164330e+01
3.498216151766870752e+01 2.940377260036872897e+01
-1.963217010844565635e+01 4.179672786854411726e+01
-2.299247013005410523e+01 3.962303442934302211e+01
-3.643101255351683676e+01 -2.907891473772568958e+01
-3.352032999815504866e+01 -3.181927934032116312e+01
4.554374185242539141e+01 -3.478230000338997208e+00
n=80,	 e=46.9705836
4.709002900142520076e+01 2.289858358263769933e-01
3.794874204227921410e+01 2.670036651388189597e+01
3.498418352937316200e+01 2.939300184322637577e+01
-1.963111988407099062e+01 4.178110231140764341e+01
-2.299214039281143940e+01 3.960909178857281177e+01
-3.645926047649882662e+01 -2.908647463568275526e+01
-3.352758452621201002e+01 -3.180451908915904724e+01
4.553511018168018865e+01 -3.454812846631309498e+00
n=90,	 e=46.94962122
4.711049068871700030e+01 2.354187590285032328e-01
3.795954667450180153e+01 2.670261778261492935e+01
3.498733617390515604e+01 2.938625613253056557e+01
-1.962964166285053835e+01 4.176670316544680617e+01
-2.299222522926929813e+01 3.959758349919542297e+01
-3.648245197518217253e+01 -2.909274797913671051e+01
-3.353355959531276653e+01 -3.179220404238043685e+01
4.552846440066853262e+01 -3.436885595867599896e+00
n=100,	 e=46.93587457
4.712522810027164866e+01 2.406024595789070242e-01
3.796902056143478177e+01 2.670537011315582987e+01
3.499120196922144288e+01 2.938240510055974042e+01
-1.962784346074776209e+01 4.175365657970588273e+01
-2.299236557068849507e+01 3.958792848986159640e+01
-3.650162891864535197e+01 -2.909805203657743533e+01
-3.353868242463681781e+01 -3.178214146322544664e+01
4.552302921897864252e+01 -3.423027521633487780e+00
n=110,	 e=46.92651665
4.713566631158604281e+01 2.448559278377591686e-01
3.797747362835755069e+01 2.670849340699165708e+01
3.499551142792855529e+01 2.938065123656028632e+01
-1.962579957845874645e+01 4.174194707177556296e+01
-2.299235312376216100e+01 3.957968829774830510e+01
-3.651761449516004632e+01 -2.910262256397576408e+01
-3.354323281092318609e+01 -3.177407913377001947e+01
4.551830811563045387e+01 -3.412192521745606832e+00
n=120,	 e=46.91987204
4.714284989676526294e+01 2.484090439541093431e-01
3.798513058899009565e+01 2.671188730610611373e+01
3.500009035469526708e+01 2.938042764352499958e+01
-1.962356381127775506e+01 4.173148472139971688e+01
-2.299207816655173886e+01 3.957253150815257925e+01
-3.653105967029890166e+01 -2.910663574709634105e+01
-3.354739599235541903e+01 -3.176775125468032357e+01
4.551398627524167040e+01 -3.403611499946343599e+00
n=130,	 e=46.91492767
4.714755251193584940e+01 2.514299613167708669e-01
3.799215899002111740e+01 2.671547632750725398e+01
3.500482644001836974e+01 2.938132830991695599e+01
-1.962117664245851500e+01 4.172214493176938532e+01
-2.299149365050657323e+01 3.956620715893197371e+01
-3.654247976089432370e+01 -2.911022377308039921e+01
-3.355129559424936758e+01 -3.176290273123092689e+01
4.550986718135727216e+01 -3.396718463718488401e+00
n=140,	 e=46.91106063
4.715035234282785126e+01 2.540432299223710499e-01
3.799868650292827255e+01 2.671920457626585943e+01
3.500964776454063809e+01 2.938306027064219350e+01
-1.961866937994286531e+01 4.171379175031341191e+01
-2.299059097376752803e+01 3.956052480668179783e+01
-3.655228320291544719e+01 -2.911348612742688857e+01
-3.355501460580028095e+01 -3.175930098023320980e+01
4.550583102736569430e+01 -3.391095804759613586e+00
n=150,	 e=46.90788279
4.715168495505329105e+01 2.563420860404591606e-01
3.800481203753233928e+01 2.672303106558575081e+01
3.501450881340903010e+01 2.938541056275352403e+01
-1.961606668258603037e+01 4.170629116874288655e+01
-2.298938391592185226e+01 3.955533957766557762e+01
-3.656079415652409637e+01 -2.911649789592583915e+01
-3.355860896670370153e+01 -3.175674058666990973e+01
4.550180739098346550e+01 -3.386434256793841691e+00
n=160,	 e=46.90514968
4.715188083991866819e+01 2.583969621657161708e-01
3.801061317420175811e+01 2.672692592209062212e+01
3.501938130754562195e+01 2.938822324288712551e+01
-1.961338820171746278e+01 4.169951827530646682e+01
-2.298789818934612939e+01 3.955054095706930184e+01
-3.656827025912892282e+01 -2.911931590970265660e+01
-3.356211648641546219e+01 -3.175504396054356349e+01
4.549775729020291948e+01 -3.382503767881718915e+00
n=170,	 e=46.90270602
4.715119240414279744e+01 2.602614856055368575e-01
3.801615131986016394e+01 2.673086744919816482e+01
3.502424816556841591e+01 2.939138329417123785e+01
-1.961064971223144227e+01 4.169336065079776432e+01
-2.298616480510287730e+01 3.954604438172476932e+01
-3.657491656901281374e+01 -2.912198331184892908e+01
-3.356556276080480927e+01 -3.175405986519044532e+01
4.549366143285761410e+01 -3.379132363074119461e+00
n=180,	 e=46.90045255
4.714981357018670138e+01 2.619767713476023330e-01
3.802147540321504238e+01 2.673483991648341629e+01
3.502909952035873431e+01 2.939480528226394895e+01
-1.960786393199952471e+01 4.168771950684587324e+01
-2.298421599651246439e+01 3.954178493310524800e+01
-3.658089652404700587e+01 -2.912453295890205851e+01
-3.356896512837322177e+01 -3.175366092333027623e+01
4.548951256246093777e+01 -3.376190806435312552e+00
n=190,	 e=46.89832551
4.714789413990592237e+01 2.635745343333412150e-01
3.802662459765057434e+01 2.673883192413230603e+01
3.503393009320506479e+01 2.939842530637055873e+01
-1.960504113916200453e+01 4.168250951138049487e+01
-2.298208283345329406e+01 3.953771260202674398e+01
-3.658634056401385237e+01 -2.912698995850423245e+01
-3.357233533157766203e+01 -3.175374074463823959e+01
