n=10,	 e=48.928153
4.620918882780623704e+01 5.720995925138085830e-02
2.676185808539229072e+01 3.731039559431971497e+01
2.340065571484747409e+01 3.951409115518384851e+01
-1.853206743559406888e+01 4.219614341746173380e+01
-2.199545951684741851e+01 4.017932820890490575e+01
-3.637422732543548420e+01 -2.832808198058199167e+01
-3.370659306267783251e+01 -3.129846201229687352e+01
4.566418844699499857e+01 -3.907215882091695569e+00
n=20,	 e=48.18104361
4.636813624908237585e+01 1.104701018437737325e-01
2.674670103179357739e+01 3.726801918373050171e+01
2.338837274896928875e+01 3.947108019860448280e+01
-1.853441767190789946e+01 4.225565099727170804e+01
-2.191336610661950601e+01 4.010108837094688283e+01
-3.647289021706946244e+01 -2.837144770291775586e+01
-3.375192875262265346e+01 -3.129613952543413546e+01
4.559693645285862829e+01 -3.815313163885619474e+00
n=30,	 e=47.79494517
4.648026073444244588e+01 1.489324688154879117e-01
2.673818891012507493e+01 3.723786332371206242e+01
2.338101134474425180e+01 3.943680713392173232e+01
-1.853407437734676577e+01 4.228336834674835387e+01
-2.185622624194395769e+01 4.004428994250216078e+01
-3.654826939854956436e+01 -2.840098227877010828e+01
-3.378317588931367510e+01 -3.128563910551141447e+01
4.554982865232149436e+01 -3.741231371248555426e+00
n=40,	 e=47.58712882
4.656147263201840047e+01 1.771178099250643456e-01
2.673490649468411107e+01 3.721721881647029306e+01
2.337730369062950331e+01 3.941087802251271910e+01
-1.853265604309494208e+01 4.229362515673323486e+01
-2.181765934250636008e+01 4.000222766287632226e+01
-3.660719497880862150e+01 -2.842218714712696936e+01
-3.380534627212249887e+01 -3.127216274880280622e+01
4.551671755367217997e+01 -3.683309112411455644e+00
n=50,	 e=47.47100118
4.662111712903341498e+01 1.982081480932144923e-01
2.673503813111351235e+01 3.720354134912960831e+01
2.337607449625228639e+01 3.939165590856813992e+01
-1.853064542191144071e+01 4.229409022252718131e+01
-2.179187665601178026e+01 3.997047322058830332e+01
-3.665387809965345411e+01 -2.843795891200169734e+01
-3.382147061460231185e+01 -3.125820834668756021e+01
4.549318477024792173e+01 -3.638393130034814682e+00
n=60,	 e=47.40378163
4.666530618784522488e+01 2.142897828559132967e-01
2.673726764052047145e+01 3.719489467135234406e+01
2.337648005745610646e+01 3.937766820747658869e+01
-1.852830037913352257e+01 4.228919990568564202e+01
-2.177467072083275923e+01 3.994604752019949956e+01
-3.669123539825015712e+01 -2.845004290348132514e+01
-3.383349358292378639e+01 -3.124504145143026079e+01
4.547618992978117092e+01 -3.603607272475027656e+00
n=70,	 e=47.36355559
4.669820819584872851e+01 2.267573776443031208e-01
2.674071357436345409e+01 3.718986025760288783e+01
2.337794631339836826e+01 3.936773265860591664e+01
-1.852577279491479700e+01 4.228156971432377276e+01
-2.176312577261471404e+01 3.992690620141748070e+01
-3.672138120518702920e+01 -2.845955195068039956e+01
-3.384269591444948588e+01 -3.123326080091400314e+01
4.546365133801850789e+01 -3.576604997814519571e+00
n=80,	 e=47.3387042
4.672274504618558666e+01 2.365680053962633533e-01
2.674480679532278771e+01 3.718741398417380140e+01
2.338009098503083294e+01 3.936092861504666018e+01
-1.852315199239970056e+01 4.227274215396577262e+01
-2.175526318862603148e+01 3.991162199073042416e+01
-3.674589153771570693e+01 -2.846722344126096260e+01
-3.384993666069413365e+01 -3.122309292255179258e+01
4.545414428735506363e+01 -3.555549925306623393e+00
n=90,	 e=47.32286116
4.674100804795147468e+01 2.443944744918251366e-01
2.674919126692918780e+01 3.718682190654392627e+01
2.338266248363493105e+01 3.935654659567785529e+01
-1.852048965878000431e+01 4.226361319618093404e+01
-2.174975784752001573e+01 3.989918382732956559e+01
-3.676596397455256238e+01 -2.847356068814750785e+01
-3.385580039519219753e+01 -3.121455828931059528e+01
4.544669381198106350e+01 -3.539032562570750606e+00
n=100,	 e=47.31242841
4.675451896682057651e+01 2.507198115374344449e-01
2.675365229720397053e+01 3.718755997947370417e+01
2.338549660342818015e+01 3.935404140203570478e+01
-1.851781499917758467e+01 4.225468480298858509e+01
-2.174573156102114524e+01 3.988886648918136757e+01
-3.678252113910779997e+01 -2.847891529319344528e+01
-3.386068956882945002e+01 -3.120756772065154649e+01
4.544063313513541402e+01 -3.525981011175197466e+00
n=110,	 e=47.30531372
4.676440013997075340e+01 2.558970968760100884e-01
2.675806686969322357e+01 3.718925452855260971e+01
2.338848700600156860e+01 3.935299389077511023e+01
-1.851514392151275601e+01 4.224621841965700497e+01
-2.174260826738284891e+01 3.988014402193482510e+01
-3.679628107774014723e+01 -2.848353743461043308e+01
-3.386488390636196044e+01 -3.120197890646428363e+01
4.543550689178852053e+01 -3.515583156516842500e+00
n=120,	 e=47.30026945
4.677148869480584636e+01 2.601883988656774060e-01
2.676237012120408565e+01 3.719163899868904366e+01
2.339156545936437226e+01 3.935308121486767163e+01
-1.851248455981443541e+01 4.223832994057787715e+01
-2.174001445033654534e+01 3.987263115649047052e+01
-3.680780695734263475e+01 -2.848760780461486064e+01
-3.386857939044454469e+01 -3.119762941989461780e+01
4.543100481701587512e+01 -3.507224024777327642e+00
n=130,	 e=47.29653537
4.677641508841470142e+01 2.637907630351301047e-01
2.676653313066088913e+01 3.719452291150362555e+01
2.339468871751034840e+01 3.935405406970976117e+01
-1.850984057353474199e+01 4.223104904963073380e+01
-2.173771140737700591e+01 3.986604304948198774e+01
-3.681754315952233014e+01 -2.849125855703807275e+01
-3.387191427742401828e+01 -3.119435559435293470e+01
4.542691621572872407e+01 -3.500437231758902534e+00
n=140,	 e=47.29363985
4.677965815991252185e+01 2.668539714232289195e-01
2.677054843977329313e+01 3.719776975673512709e+01
2.339782984332455840e+01 3.935571940362007126e+01
-1.850721310687094601e+01 4.222435639047646561e+01
-2.173554951078317288e+01 3.986016726033757607e+01
-3.682584205030110525e+01 -2.849458740403097323e+01
-3.387498669548791241e+01 -3.119200281962269372e+01
4.542309865488890352e+01 -3.494868098723276972e+00
n=150,	 e=47.29128606
4.678158433040574238e+01 2.694929368260525204e-01
2.677442077039407309e+01 3.720128132190966141e+01
2.340097248230986793e+01 3.935792729471498319e+01
-1.850460194474069553e+01 4.221820673121542455e+01
-2.173343749027588956e+01 3.985484403241412110e+01
-3.683298415178228424e+01 -2.849766729708623103e+01
-3.387786668048499195e+01 -3.119043063122118298e+01
4.541945641863237881e+01 -3.490245928555949284e+00
n=160,	 e=47.28928504
4.678247588489507081e+01 2.717965160272208247e-01
2.677816118740699380e+01 3.720498661539154739e+01
2.340410709039763049e+01 3.936056097840254608e+01
-1.850200618862006863e+01 4.221254320504549895e+01
-2.173132190768428984e+01 3.984995228301681891e+01
-3.683919353081201109e+01 -2.850055318449438602e+01
-3.388060448189983020e+01 -3.118951467699493918e+01
4.541592568077037129e+01 -3.486363276177849357e+00
n=170,	 e=47.28751546
4.678255160920232214e+01 2.738338804697073026e-01
2.678178351761344800e+01 3.720883404476617784e+01
2.340722845484454240e+01 3.936352925292443672e+01
-1.849942464594337466e+01 4.220730584993739143e+01
-2.172917351512141693e+01 3.984539956064925548e+01
-3.684464965521861757e+01 -2.850328679159719769e+01
-3.388323633748833430e+01 -3.118914685969085809e+01
4.541246430656700284e+01 -3.483060477232929664e+00
n=180,	 e=47.28589885
4.678198199948868563e+01 2.756591879300864245e-01
2.678530222659274784e+01 3.721278589242638191e+01
2.341033407091711638e+01 3.936676068129170858e+01
-1.849685604905263503e+01 4.220243651750686098e+01
-2.172697824482804663e+01 3.984111478479893265e+01
-3.684949660304475572e+01 -2.850590004116096310e+01
-3.388578851327523722e+01 -3.118923446605035821e+01
4.540904484765620452e+01 -3.480214096517443068e+00
n=190,	 e=47.28438425
4.678090057305839622e+01 2.773150515100277214e-01
2.678873122392629114e+01 3.721681440817677355e+01
2.341342308480552958e+01 3.937019915294531813e+01
-1.849429917309829463e+01 4.219788149066162219e+01
-2.172473130442008937e+01 3.983704295382776195e+01
-3.685385026463308122e+01 -2.850841752568758380e+01
-3.388828014521096321e+01 -3.118969878505706816e+01
4.540564974002799659e+01 -3.477728286145672421e+00
n=200,	 e=47.28293841
4.677941234945509308e+01 2.788351439150439925e-01
2.679208324876674396e+01 3.722089903892923246e+01
2.341649561088726728e+01 3.937380047694990992e+01
-1.849175289454282378e+01 4.219359267882624209e+01
-2.172243334610791976e+01 3.983314125585228282e+01
-3.685780400779876231e+01 -2.851085831124134273e+01
-3.389072524759207994e+01 -3.119047352218911584e+01
4.540226802138464279e+01 -3.475528300806521642e+00
n=210,	 e=47.28153956
4.677760025846199454e+01 2.802461714253447478e-01
2.679536960948239255e+01 3.722502445811068128e+01
2.341955229599354027e+01 3.937752975968398061e+01
-1.848921621524136683e+01 4.218952795325223093e+01
-2.172008801458177629e+01 3.982937618761650356e+01
-3.686143315617144367e+01 -2.851323726518042889e+01
-3.389313413882178594e+01 -3.119150319162078944e+01
4.539889309532698292e+01 -3.473555613049726709e+00
n=220,	 e=47.28017346
4.677553001618898776e+01 2.815693827692180018e-01
2.679860013194029023e+01 3.722917915824454838e+01
2.342259404600380890e+01 3.938135938061127206e+01
-1.848668826708265200e+01 4.218565098421031934e+01
-2.171770040596571505e+01 3.982572140304949926e+01
-3.686479854445728677e+01 -2.851556604175609522e+01
-3.389551445782637273e+01 -3.119274158903171923e+01
4.539552121564136655e+01 -3.471764217852918222e+00
n=230,	 e=47.27883073
4.677325386008457286e+01 2.828217310785398619e-01
2.680178322426725401e+01 3.723335444093558522e+01
2.342562185856448309e+01 3.938526742515816181e+01
-1.848416830616502793e+01 4.218193081015784429e+01
-2.171527612436429422e+01 3.982215609419111502e+01
-3.686794935117035266e+01 -2.851785381973275690e+01
-3.389787189162682779e+01 -3.119415039773235065e+01
4.539215046484864047e+01 -3.470117823800356938e+00
n=240,	 e=47.27750523
4.677081342746811998e+01 2.840167745794965337e-01
2.680492600073547749e+01 3.723754368813439442e+01
2.342863672455689539e+01 3.938923646786588506e+01
-1.848165570183207862e+01 4.217834128261551285e+01
-2.171282072653079354e+01 3.981866376358372861e+01
-3.687092536265446086e+01 -2.852010785875929599e+01
-3.390021069830041966e+01 -3.119569794999859624e+01
