n=10,	 e=47.01003307
4.549161860326621110e+01 5.752917415904337806e-02
3.682774862826175877e+01 2.670594697350905378e+01
3.404796306914721526e+01 2.958821388201811686e+01
-3.590962031666293797e+01 2.768868829157583988e+01
-3.816684863350860724e+01 2.439371139417303880e+01
-1.652426729635340052e+01 -4.217475643912756311e+01
-1.276091328729759411e+01 -4.351233598183842588e+01
4.493829864471718594e+01 -3.908389044062367645e+00
n=20,	 e=46.24223991
4.562150774842209700e+01 1.020571893068478453e-01
3.695898962045053793e+01 2.674631696568452455e+01
3.401593069209350517e+01 2.946114950838690305e+01
-3.595073622882367204e+01 2.769233714154503545e+01
-3.819536082959000112e+01 2.438577290789048391e+01
-1.655199657093336896e+01 -4.218510304648397380e+01
-1.279202230763477743e+01 -4.353946642861107108e+01
4.483766728759481879e+01 -3.824455987304406612e+00
n=30,	 e=45.89259954
4.570619287936154507e+01 1.318025439655201303e-01
3.704497600087930209e+01 2.677205992577524896e+01
3.399984187238241873e+01 2.937062085928288724e+01
-3.597224243468119198e+01 2.768587851949719081e+01
-3.821832157980590239e+01 2.437879751182812527e+01
-1.657466943056259367e+01 -4.219296394132776129e+01
-1.281321482003609091e+01 -4.354688991137212639e+01
4.477141692405877649e+01 -3.760697257228200030e+00
n=40,	 e=45.72695763
4.576321673350798136e+01 1.520796900052797940e-01
3.710302174518649565e+01 2.678919393322329867e+01
3.399209951577954314e+01 2.930747330667123407e+01
-3.598336463479206770e+01 2.767535643653439692e+01
-3.823715635645899624e+01 2.437275144646989133e+01
-1.659345865972606759e+01 -4.219915010330822724e+01
-1.282839830021448435e+01 -4.354492026805534266e+01
4.472801936832352254e+01 -3.714176191112749770e+00
n=50,	 e=45.64546373
4.580261351388579527e+01 1.661530697823815073e-01
3.714316231852824046e+01 2.680097954826967666e+01
3.398879693132019497e+01 2.926378469426843054e+01
-3.598886627120670312e+01 2.766375326884515218e+01
-3.825267149401692279e+01 2.436759456112518762e+01
-1.660904003868007806e+01 -4.220410324341031583e+01
-1.283967159066424912e+01 -4.353877092434689899e+01
4.469965604245535218e+01 -3.680782724098580871e+00
n=60,	 e=45.6038776
4.583038120047114461e+01 1.760713180313891180e-01
3.717145367672171119e+01 2.680928708302650065e+01
3.398785337848191546e+01 2.923363083740525070e+01
-3.599128726885290064e+01 2.765250910539024787e+01
-3.826542917248498554e+01 2.436325511780744080e+01
-1.662191044960979980e+01 -4.220809594347592508e+01
-1.284824211908205527e+01 -4.353110029949935011e+01
4.468116016599123697e+01 -3.656948968240427256e+00
n=70,	 e=45.58189392
4.585026580764662896e+01 1.831529762537076056e-01
3.719170102168615699e+01 2.681525302942047162e+01
3.398812987534792285e+01 2.921280954868293378e+01
-3.599202735326400671e+01 2.764227530069129202e+01
-3.827588136605814384e+01 2.435964214792079474e+01
-1.663248894855914273e+01 -4.221132042222173197e+01
-1.285485894737018597e+01 -4.352325835664704101e+01
4.466913932223410910e+01 -3.639945973655509093e+00
n=80,	 e=45.5698781
4.586469252965039090e+01 1.882669810871803462e-01
3.720637686609724426e+01 2.681960078161180761e+01
3.398899345039946240e+01 2.919840325535452763e+01
-3.599187597181433773e+01 2.763329287591433214e+01
-3.828441165968864368e+01 2.435665875434203542e+01
-1.664114276431486417e+01 -4.221392388531334916e+01
-1.286001884720949917e+01 -4.351590428939989152e+01
4.466136580855893357e+01 -3.627786223146249434e+00
n=90,	 e=45.56310699
4.587527631507044390e+01 1.919975587909999726e-01
3.721713095966319429e+01 2.682280752426740023e+01
3.399009213317380329e+01 2.918840479665745846e+01
-3.599128334897564230e+01 2.762559031237907092e+01
-3.829134890910171407e+01 2.435421101216384443e+01
-1.664819311241184607e+01 -4.221602375747494307e+01
-1.286406921393702518e+01 -4.350932589931257866e+01
4.465637458821139916e+01 -3.619053297019291904e+00
n=100,	 e=45.55918778
4.588311649849175211e+01 1.947440536802938216e-01
3.722508729570446917e+01 2.682519675613752597e+01
3.399123364726352747e+01 2.918143854769275691e+01
-3.599050564627297888e+01 2.761909028402599731e+01
-3.829697348329328577e+01 2.435221285533522462e+01
-1.665391737040603459e+01 -4.221771530589052190e+01
-1.286726270616786039e+01 -4.350361128670289901e+01
4.465320117638446362e+01 -3.612747653822718341e+00
n=110,	 e=45.55686751
4.588897464280670846e+01 1.967832132713431548e-01
3.723102457950479049e+01 2.682699249802693586e+01
3.399231762246759558e+01 2.917656275407572508e+01
-3.598968587235908956e+01 2.761366822306578328e+01
-3.830152213056148014e+01 2.435058821563636400e+01
-1.665855175566771607e+01 -4.221907623182097780e+01
-1.286978824541261801e+01 -4.349874380012511921e+01
4.465121057094085444e+01 -3.608166621678511987e+00
n=120,	 e=45.55546846
4.589338595392406006e+01 1.983090940878870223e-01
3.723548980884882553e+01 2.682835253689885846e+01
3.399329665314321858e+01 2.917313242890833891e+01
-3.598890045343800637e+01 2.760918440628942605e+01
