n=10,	 e=51.26088962
4.765884592278698761e+01 5.179420774830136714e-02
4.558248170519433273e+01 1.391422433636621037e+01
4.372170673184704270e+01 1.744849306824854551e+01
-3.984793207649224911e+01 2.542616732365436150e+01
-4.197081486960341579e+01 2.203861726310054081e+01
-3.367172040457231219e+01 -3.336862593550429779e+01
-3.064947060465727802e+01 -3.598551968800906309e+01
4.691525103862444723e+01 -3.872566328801378077e+00
n=20,	 e=48.5973569
4.793651588273394992e+01 9.323819383908475700e-02
4.586010876789713819e+01 1.395595471871374826e+01
4.367629438313719703e+01 1.730326127870328179e+01
-3.990094637971117919e+01 2.534407390764760493e+01
-4.211878162380619983e+01 2.201568683137148952e+01
-3.381991201579769779e+01 -3.339005516038342591e+01
-3.072421120088131019e+01 -3.592256185597898366e+01
4.682927962959203683e+01 -3.747013667104458712e+00
n=30,	 e=47.11851985
4.812880570843542927e+01 1.232453952621171273e-01
4.605275175268992172e+01 1.398360412654725593e+01
4.365688549536599083e+01 1.718393919881436460e+01
-3.992639850758840936e+01 2.526166934274468900e+01
-4.223762074398371169e+01 2.199653293155345324e+01
-3.393914777758223522e+01 -3.340656096575686718e+01
-3.077269037053633483e+01 -3.585123098410841180e+01
4.677576188640890109e+01 -3.638614798247758131e+00
n=40,	 e=46.27192254
4.826489457322356458e+01 1.451338303443348299e-01
4.618928144440288719e+01 1.400254947123088556e+01
4.365079724747338474e+01 1.709164427049643820e+01
-3.993769237096493185e+01 2.518569504191693653e+01
-4.233204823040856013e+01 2.198081805720763526e+01
-3.403403561282819112e+01 -3.341920241566677419e+01
-3.080574859302893387e+01 -3.578189989660651804e+01
4.674289898538985710e+01 -3.552154112113949047e+00
n=50,	 e=45.77604316
4.836318463710146176e+01 1.611925932955666496e-01
4.628796310254677593e+01 1.401599383538582089e+01
4.365130496972845009e+01 1.702218288580504435e+01
-3.994185311317038867e+01 2.511892020674989823e+01
-4.240677750985460648e+01 2.196808530807951598e+01
-3.410921596549958679e+01 -3.342892366600297294e+01
-3.082929134982579100e+01 -3.571927459013552664e+01
4.672303267228583934e+01 -3.485592326371053318e+00
n=60,	 e=45.48064719
4.843533266870142739e+01 1.730640564900901845e-01
4.636042313573575058e+01 1.402578228394667548e+01
4.365486718089420748e+01 1.697051735276638595e+01
-3.994247230992782960e+01 2.506188514076176688e+01
-4.246583112678328575e+01 2.195784375779185638e+01
-3.416867868649586626e+01 -3.343643391555653466e+01
-3.084659429242593021e+01 -3.566492396597810455e+01
4.671130087366320538e+01 -3.435150463417117273e+00
n=70,	 e=45.30244983
4.848896583730397225e+01 1.819072714120285317e-01
4.641429358483008372e+01 1.403304134434301176e+01
4.365962114314604747e+01 1.693226139881432601e+01
-3.994140820164111716e+01 2.501406050434750483e+01
-4.251248486222804956e+01 2.194964116072521421e+01
-3.421568830224683211e+01 -3.344226054930616954e+01
-3.085958920434223884e+01 -3.561888636780915363e+01
4.670463744859644351e+01 -3.397180515723373873e+00
n=80,	 e=45.19392543
4.852923570373643969e+01 1.885410171759347719e-01
4.645473982824561432e+01 1.403849754542044792e+01
4.366460031776113482e+01 1.690395779451919367e+01
-3.993963101839532470e+01 2.497446383307623563e+01
-4.254935290230625355e+01 2.194308860644328973e+01
-3.425285822196063634e+01 -3.344679766470095217e+01
-3.086949159244178631e+01 -3.558050671866426740e+01
4.670110532883539634e+01 -3.368660166472742468e+00
n=90,	 e=45.12735248
4.855971546960329732e+01 1.935485598757209214e-01
4.648534914863957823e+01 1.404264014395452165e+01
4.366932331834525627e+01 1.688299144077519287e+01
-3.993764506887841748e+01 2.494197665740413328e+01
-4.257850245895801322e+01 2.193786275493318527e+01
-3.428225967326544321e+01 -3.345034179196881041e+01
-3.087711133811958675e+01 -3.554886339305569720e+01
4.669947804617129350e+01 -3.347230125117052424e+00
n=100,	 e=45.08628739
4.858293717674438739e+01 1.973496045206228067e-01
4.650866543851626744e+01 1.404580972649335280e+01
4.367357319910303914e+01 1.686742190515531803e+01
-3.993570530234605798e+01 2.491550248644519883e+01
-4.260156211004327531e+01 2.193369954073775574e+01
-3.430552713235155693e+01 -3.345311761753956148e+01
-3.088301346701720362e+01 -3.552298271886238012e+01
4.669897964099254750e+01 -3.331098680148611102e+00
n=110,	 e=45.06084899
4.860072604999107426e+01 2.002491254454930869e-01
4.652652317710518304e+01 1.404824948222803727e+01
4.367727633652435060e+01 1.685582264986536671e+01
-3.993393166011698980e+01 2.489403992797269183e+01
-4.261981354979047865e+01 2.193038544312701532e+01
-3.432394860571830009e+01 -3.345529651962580431e+01
-3.088760605844862184e+01 -3.550194239266348006e+01
4.669912175410891564e+01 -3.318923469551030792e+00
n=120,	 e=45.0450395
4.861441604743685474e+01 2.024707065672235740e-01
4.654026328957882441e+01 1.405013648080356603e+01
4.368043484070759774e+01 1.684714923405224596e+01
-3.993237099465907392e+01 2.487671062522826304e+01
-4.263426576839235338e+01 2.192774880608178734e+01
-3.433853909750969535e+01 -3.345701000330281261e+01
-3.089119126179668839e+01 -3.548491633243629906e+01
4.669960038834381066e+01 -3.309705270199091665e+00
n=130,	 e=45.03518976
4.862499309007066728e+01 2.041795700510080358e-01
4.655087683821015077e+01 1.405160161966073673e+01
4.368308849356636614e+01 1.684063783898573519e+01
-3.993103125748979920e+01 2.486276358234481876e+01
-4.264571377224383752e+01 2.192565210971468304e+01
-3.435009901721944914e+01 -3.345835951576469824e+01
-3.089399671674059888e+01 -3.547118883000118217e+01
4.670022978561702587e+01 -3.302702128189677566e+00
n=140,	 e=45.02904144
4.863319266804378316e+01 2.054986813423168857e-01
4.655910306379573882e+01 1.405274282380880635e+01
4.368529333903601497e+01 1.683572946557242034e+01
-3.992990060791505158e+01 2.485156774346270225e+01
-4.265478463773965245e+01 2.192398542260955452e+01
-3.435926013080835162e+01 -3.345942367949918150e+01
-3.089619599766473002e+01 -3.546015305455314603e+01
4.670089974708224645e+01 -3.297363155953981995e+00
n=150,	 e=45.02519804
4.863956775536340871e+01 2.065201440220899298e-01
4.656549765849489830e+01 1.405363404964042928e+01
4.368710982319029057e+01 1.683201420502059165e+01
-3.992895812525417654e+01 2.484259936264249546e+01
-4.266197351149577344e+01 2.192266099406618451e+01
-3.436652156546824699e+01 -3.346026366967359422e+01
-3.089792255631438067e+01 -3.545130211544753251e+01
4.670154796537273967e+01 -3.293278723492395699e+00
n=160,	 e=45.02279283
4.864453688234466000e+01 2.073133465984220714e-01
4.657048111554963299e+01 1.405433158059538101e+01
4.368859646640245131e+01 1.682919062010022770e+01
-3.992817975714209666e+01 2.483542772239230345e+01
-4.266767174404604646e+01 2.192160884958762068e+01
-3.437227799915096682e+01 -3.346092724594230106e+01
-3.089927959342461961e+01 -3.544421715031768372e+01
4.670214207342125690e+01 -3.290143476232358033e+00
n=170,	 e=45.02128638
4.864841864995465670e+01 2.079308412479680956e-01
4.657437345137544327e+01 1.405487851888417339e+01
4.368980674582231671e+01 1.682703627247904166e+01
-3.992754153053979138e+01 2.482970107354260136e+01
-4.267218890265544928e+01 2.192077323205653983e+01
-3.437684175004808651e+01 -3.346145179941275671e+01
-3.090034724834553614e+01 -3.543855482278773650e+01
