n=10,	 e=49.50984052
4.538641409939659610e+01 -3.727710159443821780e+00
n=70,	 e=48.01909052
4.650794602850806569e+01 1.185183516028587847e-01
3.779408913935431968e+01 2.673436867098816805e+01
3.486192793199658269e+01 2.946440706548085942e+01
-1.964937318048632875e+01 4.231662062944707969e+01
-2.278181297571582675e+01 3.983130367811592976e+01
-1.468297097894514280e+01 -4.376889630886075366e+01
-1.097621997255305359e+01 -4.526595398906731305e+01
4.536391080224527883e+01 -3.718463385784162689e+00
n=80,	 e=48.0040075
4.650455852707251125e+01 1.196996797052208295e-01
3.779210987619853057e+01 2.673510960324487229e+01
3.485608079801929904e+01 2.945995295089152322e+01
-1.964876124192925744e+01 4.233622802343860059e+01
-2.276487679608554870e+01 3.983048228059142559e+01
-1.467440178141793439e+01 -4.377161955605358656e+01
-1.097424564150666981e+01 -4.528522860920719495e+01
4.534703305405999885e+01 -3.712719660684708600e+00
n=90,	 e=47.994608
4.649974756480579430e+01 1.203532393930118460e-01
3.779031008653019086e+01 2.673612942194191788e+01
3.485242977852126245e+01 2.945821510529396292e+01
-1.964782457938368765e+01 4.235129552017732379e+01
-2.275124107217768099e+01 3.982983134578641682e+01
-1.466729956042315308e+01 -4.377376083892364278e+01
-1.097264387372621286e+01 -4.530097059191969322e+01
4.533401845027820087e+01 -3.709188489820724577e+00
n=100,	 e=47.98848315
4.649428540150571365e+01 1.207310531341932447e-01
3.778889396761284303e+01 2.673740326688611191e+01
3.485035209776251719e+01 2.945821057566751122e+01
-1.964667286952340675e+01 4.236288834102609968e+01
-2.274015334720485626e+01 3.982922731996583821e+01
-1.466148068188645226e+01 -4.377555475635879390e+01
-1.097141363830903060e+01 -4.531397505889383126e+01
4.532368586447477554e+01 -3.707026029493649233e+00
n=110,	 e=47.98432325
4.648862555037757005e+01 1.209849399128160585e-01
3.778793641265882997e+01 2.673889727930637861e+01
3.484941475483717710e+01 2.945930491657589201e+01
-1.964537731765069140e+01 4.237179365158269917e+01
-2.273103984092881902e+01 3.982859609630412479e+01
-1.465677059587634545e+01 -4.377715464464137796e+01
-1.097052906523539662e+01 -4.532483017841239814e+01
4.531523689625361584e+01 -3.705687348689036931e+00
n=120,	 e=47.98138201
4.648302519737318761e+01 1.212044126027934099e-01
3.778744315052482960e+01 2.674057699966029844e+01
3.484931301335587506e+01 2.946108962082019289e+01
-1.964398519117010977e+01 4.237860199318703991e+01
-2.272346276286552680e+01 3.982789615375867243e+01
-1.465300974710509507e+01 -4.377865905602539698e+01
-1.096995388877533628e+01 -4.533398052241874154e+01
4.530812702311083484e+01 -3.704824889637301055e+00
n=130,	 e=47.97921622
4.647762088443689521e+01 1.214401800790910202e-01
3.778738485230318389e+01 2.674241077943010936e+01
3.484982997702461915e+01 2.946330248236290927e+01
-1.964252829718794402e+01 4.238376197268927825e+01
-2.271708717489862650e+01 3.982710710868946080e+01
-1.465005577289887384e+01 -4.378012974167787519e+01
-1.096964903729509899e+01 -4.534176789272602548e+01
4.530198136297367029e+01 -3.704220176897325523e+00
n=140,	 e=47.97755345
4.647247584027451950e+01 1.217189242563421758e-01
3.778771646909061843e+01 2.674437093758998429e+01
3.485080957804685653e+01 2.946577590805863522e+01
-1.964102821508496532e+01 4.238761802168057358e+01
-2.271165581169659120e+01 3.982622196208249932e+01
-1.464778373736280770e+01 -4.378160392050978800e+01
