n=10,	 e=52.64580223
4.763693594502459661e+01 3.794744615532864157e-02
4.537264122460761229e+01 1.387691459042351738e+01
4.366818721906034995e+01 1.751145936026255612e+01
-3.764692696346162659e+00 4.729290653221890750e+01
-7.685107549778934732e+00 4.650876842230228903e+01
-3.356912441373228262e+01 -3.338712682949835653e+01
-3.068012308968780388e+01 -3.613809695719010051e+01
4.684745595664379891e+01 -3.885264107374334586e+00
n=20,	 e=51.15504722
4.786042472612496823e+01 7.161094174747978380e-02
4.548170251828977229e+01 1.389083795655324849e+01
4.355962936149814624e+01 1.741771365298384211e+01
-3.756277932632953398e+00 4.739126016515544393e+01
-7.641672913172622650e+00 4.643783329627613199e+01
-3.363227401076680678e+01 -3.343057913966855210e+01
-3.075435296835008359e+01 -3.619845559071525543e+01
4.670899381484160529e+01 -3.762712825040769538e+00
n=30,	 e=50.53823437
4.799283104505622788e+01 9.591031688778178799e-02
4.554608297465534150e+01 1.389905577271769488e+01
4.349546650094395517e+01 1.735092864170014337e+01
-3.745653631678928175e+00 4.744187827258978984e+01
-7.604406309382544471e+00 4.638344924699271843e+01
-3.367843966799692623e+01 -3.346140430511051989e+01
-3.079760662277818284e+01 -3.622900012562685390e+01
4.661789830705428983e+01 -3.663309362863159890e+00
n=40,	 e=50.26978738
4.807303105461560477e+01 1.135376530907450943e-01
4.558737586048358281e+01 1.390553132445838713e+01
4.345940089740074797e+01 1.730754868916371692e+01
-3.735958813105388021e+00 4.746794100667631255e+01
-7.575367527231761322e+00 4.634166213255280553e+01
-3.371371114157727789e+01 -3.348404797435480873e+01
-3.082510987997094531e+01 -3.624501889619705253e+01
4.655651214530698212e+01 -3.589645478108972831e+00
n=50,	 e=50.14635814
4.812213677012234569e+01 1.265487791613395807e-01
4.561649514313955223e+01 1.391165692225911954e+01
4.344106254979308090e+01 1.728116573026206737e+01
-3.727844378063266628e+00 4.748057225556198091e+01
-7.553480799419255654e+00 4.630924186662465303e+01
-3.374157293165583837e+01 -3.350116523760600273e+01
-3.084427810168021011e+01 -3.625386881312711296e+01
4.651365434373593644e+01 -3.536643045868478552e+00
n=60,	 e=50.08540309
4.815193616452834391e+01 1.364367567468602604e-01
4.563891354635095610e+01 1.391785752549851196e+01
4.343403409047318320e+01 1.726638387426540788e+01
-3.721112921425652420e+00 4.748536736760281940e+01
-7.537054975985046035e+00 4.628369067593258279e+01
-3.376417757466685998e+01 -3.351443656964103468e+01
-3.085880253004174989e+01 -3.625913370822506465e+01
4.648243679679352169e+01 -3.498657464921110183e+00
n=70,	 e=50.05206529
4.816936308002947698e+01 1.442180353048877761e-01
4.565748127816745949e+01 1.392422151087097149e+01
4.343430710508399528e+01 1.725934644838070398e+01
