n=10,	 e=51.97873361
4.735180021737634348e+01 5.351931449482096731e-02
3.875706871463728476e+01 2.673122509505289557e+01
3.622621374774274727e+01 2.985965224877120860e+01
-2.034546670496605980e+00 4.723793334223011442e+01
-5.969274342958929225e+00 4.649769459860642229e+01
-3.402219389904051638e+01 -3.265705925802725318e+01
-3.115371670758737466e+01 -3.542963722511213831e+01
4.667414760033041432e+01 -3.894460895557374069e+00
n=20,	 e=50.80467909
4.752514495068304967e+01 1.022381899844049535e-01
3.876481319749183285e+01 2.672229771999147729e+01
3.617357751472580674e+01 2.979848511527572086e+01
-1.998131361621253266e+00 4.736707107023385532e+01
-5.882767554350762040e+00 4.639658729287375394e+01
-3.408468530006214792e+01 -3.271330953349865212e+01
-3.121762048140663737e+01 -3.549214068269076705e+01
4.654916769455412862e+01 -3.782361951716847859e+00
n=30,	 e=50.27175549
4.763093868561576727e+01 1.353088583606165130e-01
3.876604814835880575e+01 2.671511607697538082e+01
3.614108310919652922e+01 2.975727395188827629e+01
-1.971402012337625909e+00 4.744466455089970935e+01
-5.814162043712961747e+00 4.632297717256391678e+01
-3.412747772034347804e+01 -3.275160628685929254e+01
-3.125807011589405349e+01 -3.553060920295148861e+01
4.646254060913706496e+01 -3.694257900426016317e+00
n=40,	 e=50.02178061
4.769711254326019656e+01 1.579863077992623710e-01
3.876698368303829056e+01 2.671132358793861172e+01
3.612229758124099988e+01 2.973169612366306680e+01
-1.952174942856550022e+00 4.749264477822166697e+01
-5.762754050191491118e+00 4.626897855232029855e+01
-3.415821897273755781e+01 -3.277883230000914949e+01
-3.128535125596212296e+01 -3.555578878693939515e+01
4.640160407423786637e+01 -3.629141042547589624e+00
n=50,	 e=49.90080582
4.773865735599444093e+01 1.739829464376890233e-01
3.876925144237121401e+01 2.671064945828269188e+01
3.611269868403829264e+01 2.971702277397114855e+01
-1.938153815622007503e+00 4.752229192225500043e+01
-5.724862852844449179e+00 4.622879991200121452e+01
-3.418109753278163510e+01 -3.279883769924884263e+01
-3.130476703309110675e+01 -3.557315983895623646e+01
4.635777241197588694e+01 -3.581882254299868062e+00
n=60,	 e=49.83984097
4.776434940679991570e+01 1.856274107016266939e-01
3.877310534404693954e+01 2.671244518173493887e+01
3.610929042657224386e+01 2.970977657865874377e+01
-1.927675195307804845e+00 4.754012103030633085e+01
-5.697000294007969146e+00 4.619834949857462192e+01
-3.419867151181979636e+01 -3.281399422300571445e+01
-3.131929275242388755e+01 -3.558576577464240387e+01
4.632539323619839422e+01 -3.547692481888966132e+00
n=70,	 e=49.8071757
4.777959759969072451e+01 1.943865268358979104e-01
3.877837085109996451e+01 2.671608369423352158e+01
3.611008188551691944e+01 2.970756351841985676e+01
-1.919603349776983325e+00 4.755013891573569396e+01
-5.676397347137637439e+00 4.617475253623893394e+01
-3.421259432537209477e+01 -3.282583652201372360e+01
-3.133069003564312638e+01 -3.559538630096067635e+01
4.630073338169518138e+01 -3.522835148056077781e+00
n=80,	 e=49.7879871
4.778785348183760817e+01 2.012046558302656996e-01
3.878476953453132126e+01 2.672105557049461666e+01
3.611373580302226571e+01 2.970875950161997636e+01
-1.913170869583686429e+00 4.755490958311512628e+01
-5.660982058272518103e+00 4.615598846702076941e+01
-3.422397114526920348e+01 -3.283538726184749379e+01
-3.134004304126716178e+01 -3.560310042166921818e+01
4.628130695508887982e+01 -3.504562874133880346e+00
n=90,	 e=49.77526696
4.779137492308365864e+01 2.067026217250838571e-01
3.879203200258872641e+01 2.672697428616045912e+01
3.611934542973321527e+01 2.971226520820971118e+01
-1.907858687191583247e+00 4.755611859397000529e+01
-5.649245440914189231e+00 4.614063539461489682e+01
-3.423355667872020547e+01 -3.284334104610015714e+01
-3.134803858398076315e+01 -3.560958006689734390e+01
4.626544569550000574e+01 -3.490907771251494207e+00
n=100,	 e=49.76567612
4.779166560363109539e+01 2.112953930552643467e-01
3.879993220564907119e+01 2.673355624338575254e+01
3.612629157936068225e+01 2.971733559332343688e+01
-1.903314376261894925e+00 4.755489479847988576e+01
-5.640104475567055076e+00 4.612769176279385164e+01
-3.424187356032665264e+01 -3.285017563845632793e+01
-3.135512128185180458e+01 -3.561525208763516304e+01
4.625202296547465153e+01 -3.480478844523422044e+00
n=110,	 e=49.75761516
4.778973994140664416e+01 2.152637961060554495e-01
3.880829224225381324e+01 2.674059717547378412e+01
3.613414933832621045e+01 2.972346464841906410e+01
-1.899297698204000628e+00 4.755200387149593411e+01
-5.632788701289491939e+00 4.611645173879863790e+01
-3.424928705396742146e+01 -3.285622239505853059e+01
-3.136158362085634721e+01 -3.562039162447458551e+01
4.624027421245502012e+01 -3.472299990333950870e+00
n=120,	 e=49.75031523
4.778628869702594528e+01 2.187995829391528035e-01
3.881697691921937121e+01 2.674795156052531198e+01
3.614262613357814757e+01 2.973030797077087684e+01
-1.895644341087083351e+00 4.754796960099292136e+01
-5.626753178473750339e+00 4.610641783436818031e+01
-3.425605399206557422e+01 -3.286171237249822497e+01
-3.136762029368089699e+01 -3.562517786778482076e+01
4.622967871561962738e+01 -3.465689088894516434e+00
n=130,	 e=49.74340574
4.778178543881133322e+01 2.220345180955234921e-01
