n=10,	 e=47.71188701
4.591162654031773371e+01 6.881743058286818315e-02
2.639776083801247353e+01 3.728767303606131378e+01
2.296669046202696052e+01 3.936629014853981090e+01
-3.254964973267362183e+01 3.200734382758381713e+01
-3.520512178758571054e+01 2.900610961594935944e+01
-3.706280928181190149e+01 -2.697999451215470046e+01
-3.441182185296611351e+01 -2.997129081115853921e+01
4.539190956733913396e+01 -3.897634832270450822e+00
n=20,	 e=46.86108054
4.608956305552670329e+01 1.296569195055497226e-01
2.643787272627245954e+01 3.727105802572777549e+01
2.297113516630803076e+01 3.928645554588957367e+01
-3.255120743924563698e+01 3.197000766160805085e+01
-3.519812515054630353e+01 2.896170729335338834e+01
-3.720756101163427587e+01 -2.701755781102076170e+01
-3.445212698906615856e+01 -2.991356434519846630e+01
4.534903439503674605e+01 -3.800449386722581480e+00
n=30,	 e=46.34464188
4.622256498263194402e+01 1.742445514331334155e-01
2.646877023348227453e+01 3.725695300729780257e+01
2.297679886652511527e+01 3.922484418057411659e+01
-3.254855666413646276e+01 3.193263717969124116e+01
-3.519659016353229219e+01 2.892642597921402015e+01
-3.732105983317008935e+01 -2.704647842104240496e+01
-3.448172953400373331e+01 -2.986055804942199643e+01
4.531838686484706358e+01 -3.720754524598263835e+00
n=40,	 e=46.02713829
4.632322485997459438e+01 2.074227415995716639e-01
2.649326590600554709e+01 3.724585016502101809e+01
2.298266440714259318e+01 3.917748162387770350e+01
-3.254422720300829752e+01 3.189810077115467379e+01
-3.519833117154482238e+01 2.889833883153116645e+01
-3.741036988671108787e+01 -2.706912470179564068e+01
-3.450394217760404558e+01 -2.981406153299327855e+01
4.529630001838194886e+01 -3.656693995246708795e+00
n=50,	 e=45.83026128
4.639995911106868931e+01 2.324780948313779072e-01
2.651293453091066965e+01 3.723744720308628331e+01
2.298822938486745215e+01 3.914099149629617358e+01
-3.253933744488377755e+01 3.186740469239317974e+01
-3.520169723953300434e+01 2.887594171320266767e+01
-3.748080517889572860e+01 -2.708697856241560586e+01
-3.452088326963398401e+01 -2.977432511294696837e+01
4.528018485873511878e+01 -3.605645621289929714e+00
n=60,	 e=45.7074435
4.645875747671748712e+01 2.516263838614907211e-01
2.652885204136455854e+01 3.723128183999767060e+01
2.299328584906697870e+01 3.911284124994541145e+01
-3.253444721017230989e+01 3.184077050598446590e+01
-3.520566372192169524e+01 2.885804733848431525e+01
-3.753648409347785986e+01 -2.710112758057324456e+01
-3.453398002383558207e+01 -2.974097003217205781e+01
4.526826443489073171e+01 -3.565155802378543015e+00
n=70,	 e=45.63048426
4.650397826819837377e+01 2.664013116145713678e-01
2.654180492553460624e+01 3.722689673125442056e+01
2.299777740534304371e+01 3.909112858412587599e+01
-3.252982433286425845e+01 3.181802711294892561e+01
-3.520962925771789287e+01 2.884371469285504830e+01
-3.758060520964601636e+01 -2.711239585164609522e+01
-3.454422706698018430e+01 -2.971334045957813430e+01
4.525931002075582654e+01 -3.533118218422470314e+00
n=80,	 e=45.58209202
4.653884092943169293e+01 2.778912166739633260e-01
2.655239207347906927e+01 3.722389539010057291e+01
2.300172201797246885e+01 3.907441105773695966e+01
-3.252557942271138103e+01 3.179881813458045769e+01
-3.521326376719839857e+01 2.883219767499476305e+01
-3.761565626350371616e+01 -2.712141639267845150e+01
-3.455233561601161796e+01 -2.969068943946399486e+01
4.525246480116580727e+01 -3.507793738797666094e+00
n=90,	 e=45.55157193
4.656575162579780880e+01 2.868849668885775639e-01
2.656108161564471004e+01 3.722195491799373457e+01
2.300517098461861565e+01 3.906158525286802075e+01
-3.252173946930255255e+01 3.178271674310700234e+01
-3.521640675174543844e+01 2.882290536425451322e+01
-3.764357594923001926e+01 -2.712867908205670275e+01
-3.455882434545117121e+01 -2.967227769142350269e+01
4.524712704228351612e+01 -3.487776568491997686e+00
n=100,	 e=45.53226822
4.658652568423047313e+01 2.939645632476828307e-01
2.656824533679699130e+01 3.722082127162342857e+01
2.300818737907442824e+01 3.905180100977805324e+01
-3.251828870811066707e+01 3.176928846399931672e+01
-3.521900082109473828e+01 2.881537039867219008e+01
-3.766587852146944471e+01 -2.713456466368871745e+01
-3.456407723452308289e+01 -2.965742278967428547e+01
4.524287163770767251e+01 -3.471944350813613411e+00
n=110,	 e=45.52002015
4.660254329916877936e+01 2.995656588350203986e-01
2.657418117686606251e+01 3.722029860900169496e+01
2.301083504064992269e+01 3.904439962479447246e+01
-3.251519136951628042e+01 3.175812398686169047e+01
-3.522104882884916321e+01 2.880922358900257407e+01
-3.768374947866949043e+01 -2.713936985189729612e+01
-3.456838182793433134e+01 -2.964552007417910318e+01
4.523939674089051977e+01 -3.459407639273785584e+00
n=120,	 e=45.51221813
4.661486062679248477e+01 3.040182126714074951e-01
2.657912900174120807e+01 3.722023778239685754e+01
2.301317329124857736e+01 3.903886854675736373e+01
-3.251240422855871515e+01 3.174885459068306659e+01
-3.522258660718931367e+01 2.880417354620192683e+01
-3.769811903196636393e+01 -2.714332630713219530e+01
-3.457195537196454893e+01 -2.963604780723993315e+01
4.523648707250951162e+01 -3.449464661199474591e+00
n=130,	 e=45.50722146
4.662429028084215332e+01 3.075745018691111721e-01
2.658328229317677938e+01 3.722052599881867962e+01
2.301525474317459441e+01 3.903480764446282336e+01
-3.250988335271492957e+01 3.174115758175098279e+01
-3.522366593131371815e+01 2.879999039344014378e+01
-3.770971860806167086e+01 -2.714661516812693876e+01
-3.457496314651727687e+01 -2.962856394986896191e+01
4.523398847402022938e+01 -3.441563099212003429e+00
n=140,	 e=45.50399668
