n=10,	 e=48.58665236
4.644545705016843584e+01 7.162306801475895601e-02
3.782348166160216607e+01 2.673682441634456808e+01
3.509965833010357272e+01 2.967175234493599945e+01
-3.487766883746098046e+01 3.014438847636061425e+01
-3.740585266222944227e+01 2.704393614389807965e+01
-3.610805606883604923e+01 -2.896076959661254335e+01
-3.334518214870888642e+01 -3.184900215653832234e+01
4.580907679628064244e+01 -3.876904276532513016e+00
n=20,	 e=47.06310633
4.667497301463986759e+01 1.302452213735705300e-01
3.796818257829533394e+01 2.676367199525659402e+01
3.508270748071426937e+01 2.954016087351942943e+01
-3.490083562059241018e+01 3.007896229525666953e+01
-3.747129476616827759e+01 2.701157134534597049e+01
-3.625707320478592521e+01 -2.899338597573613896e+01
-3.340062517750011750e+01 -3.179048985086139467e+01
4.574487981632048417e+01 -3.758887484285830638e+00
n=30,	 e=46.19441276
4.683967873885554667e+01 1.716933822663688214e-01
3.806895832100932608e+01 2.677977579194207891e+01
3.507730399494706575e+01 2.944092515649079544e+01
-3.491031340830397056e+01 3.001645233602399898e+01
-3.752374930925136454e+01 2.698499506568509787e+01
-3.637574405765401764e+01 -2.901904242967173531e+01
-3.343808250627509437e+01 -3.173133938705652568e+01
4.570286234760589394e+01 -3.661611495814402595e+00
n=40,	 e=45.68657313
4.696002980140929850e+01 2.015644930477117347e-01
3.814104269300690220e+01 2.678997503673480907e+01
3.507747762635789712e+01 2.936727528276965771e+01
-3.491296975389006008e+01 2.996046146406879629e+01
-3.756553756976544634e+01 2.696318771025858041e+01
-3.646987908247122334e+01 -2.903944760861453034e+01
-3.346443027509045010e+01 -3.167670134923972469e+01
4.567518068138769394e+01 -3.584466609161751194e+00
n=50,	 e=45.38453486
4.704909718815569164e+01 2.234597074366453939e-01
3.819376493327721533e+01 2.679684016886229614e+01
3.508025294844033937e+01 2.931292890081178726e+01
-3.491225582314577736e+01 2.991204620377086698e+01
-3.759868743411367831e+01 2.694534398692482569e+01
-3.654443958414542237e+01 -2.905577832806255145e+01
-3.348358436226574497e+01 -3.162864112060985988e+01
4.565676625475285988e+01 -3.524351099271522791e+00
n=60,	 e=45.20269437
4.711559084667106134e+01 2.397454327226700155e-01
3.823304302101104923e+01 2.680177061393744253e+01
3.508412730742941932e+01 2.927290581437529582e+01
-3.490993288990652132e+01 2.987105827557268967e+01
-3.762488603166418244e+01 2.693078082940438378e+01
-3.660349231962771910e+01 -2.906889836136553384e+01
-3.349788990964276536e+01 -3.158762605877270246e+01
4.564435409669388122e+01 -3.477888126010688197e+00
n=70,	 e=45.09223179
4.716552000804751543e+01 2.520117168213418246e-01
3.826276567434417331e+01 2.680554606995530520e+01
3.508834310316368743e+01 2.924346037003080667e+01
-3.490691048600276503e+01 2.983682575987235097e+01
-3.764550769789118334e+01 2.691891287432561342e+01
-3.665030551884231613e+01 -2.907947291137734425e+01
-3.350882212307267594e+01 -3.155333498494121969e+01
4.563583116123114536e+01 -3.442100474827555878e+00
n=80,	 e=45.02466105
4.720314122722823669e+01 2.613512867625886749e-01
3.828556792951273025e+01 2.680861022153985829e+01
3.509252744427913484e+01 2.922182823429122678e+01
-3.490365765198242087e+01 2.980849176635754461e+01
-3.766166021626781202e+01 2.690924216271596947e+01
-3.668747733943699529e+01 -2.908802679807816816e+01
-3.351734959295838223e+01 -3.152509287539529126e+01
4.562982232060827670e+01 -3.414555578342596931e+00
n=90,	 e=44.98308745
4.723152959535104145e+01 2.685309845311665278e-01
3.830328189108788450e+01 2.681122107058650528e+01
3.509650864654981461e+01 2.920598137790659976e+01
-3.490041082953020890e+01 2.978518080271602386e+01
-3.767423250622244524e+01 2.690135026042554500e+01
-3.671706096800849650e+01 -2.909497811059861050e+01
-3.352413104396971733e+01 -3.150210361983225837e+01
4.562542933573399040e+01 -3.393334345889875259e+00
n=100,	 e=44.95737173
4.725294004057052888e+01 2.740990011641728508e-01
3.831720877856339058e+01 2.681353230626294959e+01
3.510022043013864135e+01 2.919443254849416647e+01
-3.489728209724497532e+01 2.976607676778212053e+01
-3.768393693055565308e+01 2.689488991623100844e+01
-3.674067381783106612e+01 -2.910066062079682325e+01
-3.352962709597959190e+01 -3.148357164286237619e+01
4.562206481334074937e+01 -3.376949856429407149e+00
n=110,	 e=44.94137561
4.726904518085225249e+01 2.784534694402638344e-01
3.832828905489760274e+01 2.681563804715660382e+01
3.510365089940700756e+01 2.918608878041237986e+01
-3.489431695205347950e+01 2.975045508864216615e+01
-3.769134443551877922e+01 2.688957611826012339e+01
-3.675958808615784790e+01 -2.910534042299449453e+01
-3.353416682213469358e+01 -3.146876153317264269e+01
4.561934528172367465e+01 -3.364261127904623727e+00
n=120,	 e=44.93135863
4.728109697136259371e+01 2.818873986395673548e-01
3.833721227324927128e+01 2.681759776760438996e+01
3.510681501126280324e+01 2.918014424915900307e+01
-3.489152575684848756e+01 2.973769118439005510e+01
-3.769691288710831856e+01 2.688517708631394498e+01
-3.677480386759295072e+01 -2.910922908411880172e+01
-3.353798918509836824e+01 -3.145702313265117667e+01
4.561702156180006540e+01 -3.354397049503596406e+00
n=130,	 e=44.92503018
4.729003934494100037e+01 2.846188121960566697e-01
3.834449002671801310e+01 2.681945035953278733e+01
3.510973965386101980e+01 2.917600258540855762e+01
-3.488890106873250119e+01 2.972725708179300952e+01
-3.770100965733796983e+01 2.688150573146359079e+01
-3.678710732682314699e+01 -2.911249432107961610e+01
-3.354126987806536420e+01 -3.144779774646606896e+01
4.561493302647678405e+01 -3.346694083020966382e+00
n=140,	 e=44.92098223
4.729658826100367008e+01 2.868114120403206790e-01
3.835050559672145454e+01 2.682122217287700749e+01
3.511245562551631139e+01 2.917322066309009543e+01
-3.488642722213285907e+01 2.971871255962586744e+01
-3.770392958201150435e+01 2.687841193069566259e+01
-3.679711661615218077e+01 -2.911526872979305125e+01
-3.354413931131878712e+01 -3.144061449176105683e+01
