n=10,	 e=50.23523605
4.736801432346539542e+01 8.634610223516861471e-02
3.902832993416724605e+01 2.684260976905973806e+01
3.628834110425506765e+01 2.975516519664887127e+01
-4.560961298696303601e+01 1.131079985161181867e+01
-4.668805424574527052e+01 7.459134736278606681e+00
-3.418158075109531779e+01 -3.266546552181503671e+01
-3.110568077280447596e+01 -3.522226020061552276e+01
4.676813221059611436e+01 -3.867216767046229631e+00
n=20,	 e=47.68690141
4.759567115883016442e+01 1.590462641317457182e-01
3.925697631285716227e+01 2.691213517534768940e+01
3.631343681296590375e+01 2.961931037832692581e+01
-4.560168256094113559e+01 1.119204256574707301e+01
-4.687342726475298349e+01 7.399429270905470091e+00
-3.436804830514198983e+01 -3.272165938666093155e+01
-3.116663058304119716e+01 -3.512002857461880012e+01
4.671159324510278310e+01 -3.741162526821975920e+00
n=30,	 e=46.17256286
4.776129794810828599e+01 2.126754695854767285e-01
3.942374221685321345e+01 2.696210975412511246e+01
3.633955538273765740e+01 2.950817292410250658e+01
-4.558734999231935348e+01 1.108991888456262132e+01
-4.701533505101435395e+01 7.353183717028105804e+00
-3.451110051644378274e+01 -3.276423327658365281e+01
-3.121286113387228056e+01 -3.502784720419171549e+01
4.666993996184402960e+01 -3.634867102260817884e+00
n=40,	 e=45.26914253
4.788319261079153222e+01 2.525492681506584791e-01
3.954670525532891645e+01 2.699855587767820353e+01
3.636327622019022954e+01 2.941960332631539288e+01
-4.557144901478869059e+01 1.100425356366879726e+01
-4.712383486272469924e+01 7.317451121453752094e+00
-3.462068793702358249e+01 -3.279647649109614349e+01
-3.124844968885561514e+01 -3.494831832190378407e+01
4.663913623297973032e+01 -3.548505177895194596e+00
n=50,	 e=44.72878042
4.797378131089552511e+01 2.823967194000680525e-01
3.963820973832456218e+01 2.702546521820010028e+01
3.638353280361320685e+01 2.935005101408401273e+01
-4.555626987907172776e+01 1.093368989251405310e+01
-4.720688926944949770e+01 7.289858681842375177e+00
-3.470471117152691676e+01 -3.282096063519242080e+01
-3.127605176044504276e+01 -3.488162676667073470e+01
4.661628704356566999e+01 -3.479760957808831545e+00
n=60,	 e=44.40498835
4.804164077224101703e+01 3.048703274671986652e-01
3.970682058127729874e+01 2.704552816484208577e+01
3.640027116701971011e+01 2.929590719885610994e+01
-4.554276505940803332e+01 1.087632795440401878e+01
-4.727059709129866150e+01 7.268541693397002845e+00
-3.476924844804032233e+01 -3.283961647942179241e+01
-3.129753064120578188e+01 -3.482675027071707063e+01
4.659929753532602348e+01 -3.425695422456661365e+00
n=70,	 e=44.21071139
4.809280145543817042e+01 3.218756494828050041e-01
3.975858297058871926e+01 2.706060302998564637e+01
3.641383724817919187e+01 2.925398437945952068e+01
-4.553121429810301635e+01 1.083014850984557143e+01
-4.731957626426348185e+01 7.252057152303063248e+00
-3.481891976797918886e+01 -3.285388040118101571e+01
-3.131426382784155749e+01 -3.478218614087893457e+01
4.658664129990392411e+01 -3.383489012642429739e+00
n=80,	 e=44.09402767
4.813157322733794530e+01 3.347961862196762173e-01
3.979782958815243887e+01 2.707200011682686025e+01
3.642469974959317369e+01 2.922163287840917789e+01
-4.552157356697113499e+01 1.079324064660634974e+01
-4.735731338184711348e+01 7.239295837013587587e+00
-3.485722449875731144e+01 -3.286482063951540056e+01
-3.132730083580433700e+01 -3.474633686615604233e+01
4.657719853423025569e+01 -3.350694993027712787e+00
n=90,	 e=44.02389244
4.816107952929763059e+01 3.446464778086515413e-01
3.982770716617268647e+01 2.708065924140653991e+01
3.643332858821962361e+01 2.919671888271531301e+01
-4.551365681399699525e+01 1.076390532127017252e+01
-4.738644416065985610e+01 7.229406743731722429e+00
-3.488681510409144693e+01 -3.287323446842607666e+01
-3.133745392865684209e+01 -3.471769858755727967e+01
4.657014353965991660e+01 -3.325290444563527625e+00
n=100,	 e=43.98171031
4.818361077440734874e+01 3.521771175009285049e-01
3.985052696566243924e+01 2.708726411050441030e+01
3.644014614058021095e+01 2.917755546216853801e+01
-4.550722929114802895e+01 1.074068799707826827e+01
-4.740896732239013289e+01 7.221736653743503709e+00
-3.490970748485431585e+01 -3.287971999060326311e+01
-3.134535637353167203e+01 -3.469494098310491381e+01
4.656486540723215484e+01 -3.305647200903239824e+00
n=110,	 e=43.95632783
4.820086310988018141e+01 3.579476657783680071e-01
3.986800268316494567e+01 2.709231798098278787e+01
3.644551227683136574e+01 2.916282416969680114e+01
-4.550205390282916795e+01 1.072237390122953116e+01
-4.742640427579940621e+01 7.215783362794571332e+00
-3.492743895604726134e+01 -3.288472837822213535e+01
-3.135150327613459353e+01 -3.467692969939236036e+01
4.656091115689954307e+01 -3.290475836487102068e+00
n=120,	 e=43.94104823
4.821410287201097589e+01 3.623779603955761264e-01
3.988141493467141174e+01 2.709619487698914853e+01
3.644972452066126323e+01 2.915150210379544760e+01
-4.549791260650811608e+01 1.070796562793506723e+01
-4.743991748861082414e+01 7.211160003738962487e+00
-3.494118592660570499e+01 -3.288860177074825231e+01
-3.135628191690656763e+01 -3.466272008054573917e+01
4.655794442726823235e+01 -3.278765555182453273e+00
n=130,	 e=43.93184735
4.822428185639140708e+01 3.657847012373587336e-01
3.989172689864824406e+01 2.709917497866675618e+01
3.645302437377387150e+01 2.914279944581843651e+01
-4.549461470283878128e+01 1.069665413722670166e+01
-4.745039824713420984e+01 7.207567969537137742e+00
-3.495185150171068500e+01 -3.289160085668599720e+01
-3.135999505097203155e+01 -3.465153801335986827e+01
4.655571518983791890e+01 -3.269729196065117360e+00
n=140,	 e=43.92630543
4.823211938170253887e+01 3.684078547884432897e-01
3.989966684911608752e+01 2.710146952103122331e+01
3.645560555745602471e+01 2.913610822748773543e+01
-4.549199841753972606e+01 1.068778901694226136e+01
-4.745853196814605468e+01 7.204776367669770920e+00
-3.496013090175083704e+01 -3.289392507557758449e+01
-3.136287910646174737e+01 -3.464275635459074465e+01
4.655403742162243219e+01 -3.262756391373072606e+00
n=150,	 e=43.92296668
4.823816151581902290e+01 3.704299187504027646e-01
3.990578783879074365e+01 2.710323859229119492e+01
3.645762223613152742e+01 2.913096135993407287e+01
-4.548992923994416770e+01 1.068085088209836897e+01
-4.746484707145524595e+01 7.202606395734644451e+00
-3.496656055718354850e+01 -3.289572752918574849e+01
-3.136511849949435771e+01 -3.463587127433896740e+01
4.655277259335051809e+01 -3.257375178908640034e+00
n=160,	 e=43.92095489
4.824282432571870771e+01 3.719901105817762232e-01
3.991051135122285132e+01 2.710460403188227829e+01
3.645919642081820200e+01 2.912700038568538830e+01
-4.548829687889918461e+01 1.067542711016439227e+01
-4.746975176975423238e+01 7.200919420718777886e+00
-3.497155515617848920e+01 -3.289712607521808252e+01
-3.136685691596717618e+01 -3.463048055890361354e+01
4.655181743906390324e+01 -3.253221258535095917e+00
n=170,	 e=43.9197425
4.824642577826403311e+01 3.731949020906448755e-01
3.991415953760915158e+01 2.710565888697870562e+01
3.646042429685236641e+01 2.912395035870880733e+01
-4.548701181436610597e+01 1.067119120850509262e+01
-4.747356192358571292e+01 7.199607852026893795e+00
-3.497543575231227209e+01 -3.289821164342826876e+01
-3.136820619691263801e+01 -3.462626467290412791e+01
4.655109489048478366e+01 -3.250013725604631087e+00
n=180,	 e=43.91901178
4.824920946863067428e+01 3.741258945574081896e-01
3.991697921749151590e+01 2.710647441412070080e+01
3.646138147293198983e+01 2.912160041174076852e+01
-4.548600193744012898e+01 1.066788565369282082e+01
-4.747652224228514939e+01 7.198588130284106157e+00
-3.497845119452492924e+01 -3.289905451207702924e+01
-3.136925332394731925e+01 -3.462297072860025082e+01
4.655054735518704234e+01 -3.247536097345270267e+00
n=190,	 e=43.91857133
4.825136239410100103e+01 3.748457394809883159e-01
